id,picking_slip_id,printed_username,inspected_username,packed_username,shipped_username,held_username,cancelled_username,refunded_username,confirmed_username,printed_at,inspected_at,packed_at,shipped_at,delivered_at,returned_at,cancelled_at,refunded_at,held_at,confirmed_at,held_reason
92,92,chloe93(12810),hanpoom logi(75732),jason_(38952),,,,,system(0),2023-01-06 10:23:17,2022-12-05 05:09:35,2022-12-05 05:31:10,2023-01-03 07:41:20,,,,,,, cancelled_username
93,93,Kyu(5850),so young jeong(75727,Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:44:39,2022-12-05 01:21:51,2022-12-28 07:39:02,,,,,,, cancelled_username
94,94,chloe93(12810),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-01-06 10:23:17,2022-12-05 04:11:04,2022-12-05 04:23:11,2023-01-03 07:41:20,,,,,,, cancelled_username
95,95,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,2023-01-10 11:31:34,,,,,2023-01-10 11:31:34, cancelled_username
96,96,Kyu(5850),so young jeong(75727,Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:44:33,2022-12-05 01:22:23,2022-12-28 07:39:02,,,,,,, cancelled_username
97,97,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
98,98,chloe93(12810),so young jeong(75727,Kyu(5850),,,,,system(0),2023-01-06 10:23:17,2022-12-05 00:44:26,2022-12-05 01:22:48,2022-12-28 07:39:02,,,,,,, cancelled_username
99,99,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
100,100,masonchoi(66367),hanpoom logi(75732),,,,,,system(0),2023-04-18 05:22:15,2022-12-05 04:50:43,,,,,,,,, cancelled_username
101,101,Kyu(5850),Kyu(5850),Kyu(5850),,,,,system(0),2022-12-03 00:01:26,2022-12-03 00:04:12,2022-12-03 00:05:14,2022-12-28 07:39:02,,,,,,, cancelled_username
102,102,chloe93(12810),hanpoom logi(75732),,,,,,system(0),2023-01-06 10:23:17,2022-12-05 04:34:22,,,,,,,,, cancelled_username
103,103,Kyu(5850),Kyu(5850),Kyu(5850),,,,,system(0),2022-12-03 00:02:10,2022-12-03 00:04:18,2022-12-03 00:05:14,2022-12-28 07:39:02,,,,,,, cancelled_username
104,104,chloe93(12810),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-01-06 10:23:17,2022-12-05 01:27:34,2022-12-05 04:44:49,2023-01-03 07:41:20,,,,,,, cancelled_username
105,105,,,,,chloe93(12810),,,system(0),2022-12-16 02:58:04,2022-12-16 02:58:11,2022-12-16 02:58:19,,,,,,2023-01-30 09:49:46,,others
106,106,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
107,107,danny_(73306),chloe93(12810),,chris,,,,chris,2022-12-15 06:41:38,2022-12-16 00:48:16,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
108,108,chloe93(12810),so young jeong(75727,Kyu(5850),,,,,system(0),2023-01-06 10:23:17,2022-12-05 00:44:20,2022-12-05 01:23:21,2022-12-28 07:39:02,,,,,,, cancelled_username
109,109,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
110,110,Kyu(5850),so young jeong(75727,Kyu(5850),,,,,system(0),2022-12-05 00:24:35,2022-12-05 00:45:41,2022-12-05 01:18:02,2022-12-28 07:39:02,,,,,,, cancelled_username
111,111,Kyu(5850),so young jeong(75727,Kyu(5850),,,,,system(0),2022-12-05 00:01:31,2022-12-05 00:44:13,2022-12-05 01:23:57,2022-12-28 07:39:02,,,,,,, cancelled_username
112,112,Kyu(5850),so young jeong(75727,Kyu(5850),,,,,system(0),2022-12-05 00:04:47,2022-12-05 00:44:07,2022-12-05 01:24:25,2022-12-28 07:39:02,,,,,,, cancelled_username
113,113,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
114,114,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
115,115,Kyu(5850),so young jeong(75727,Kyu(5850),,,,,system(0),2022-12-05 00:04:47,2022-12-05 00:44:01,2022-12-05 01:24:57,2022-12-28 07:39:02,,,,,,, cancelled_username
116,116,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
117,117,chloe93(12810),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-01-06 10:23:17,2022-12-05 00:57:37,2022-12-05 04:46:24,2023-01-03 07:41:20,,,,,,, cancelled_username
118,118,chloe93(12810),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-01-26 10:11:24,2022-12-05 04:20:19,2022-12-05 04:42:49,2023-01-03 07:41:20,,,,,,, cancelled_username
119,119,chloe93(12810),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-01-06 10:23:17,2022-12-05 00:56:13,2022-12-05 04:45:22,2023-01-03 07:41:20,,,,,,, cancelled_username
120,120,chloe93(12810),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-01-06 10:23:17,2022-12-05 01:31:35,2022-12-05 04:51:09,2023-01-03 07:41:20,,,,,,, cancelled_username
121,121,Kyu(5850),so young jeong(75727,Kyu(5850),,,,,system(0),2022-12-05 00:04:47,2022-12-05 00:43:53,2022-12-05 01:26:01,2022-12-28 07:39:02,,,,,,, cancelled_username
122,122,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
123,123,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
124,124,Kyu(5850),jason_(38952),jason_(38952),,,,,system(0),2022-12-05 00:04:47,2022-12-05 00:37:33,2022-12-05 01:11:26,2022-12-28 07:39:02,,,,,,, cancelled_username
125,125,Kyu(5850),so young jeong(75727,Kyu(5850),,,,,system(0),2022-12-05 00:04:47,2022-12-05 00:41:09,2022-12-05 00:52:27,2022-12-28 07:39:02,,,,,,, cancelled_username
126,126,chloe93(12810),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-01-06 10:23:17,2022-12-05 01:35:02,2022-12-06 06:26:36,2023-01-03 07:41:20,,,,,,, cancelled_username
127,127,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
128,128,Kyu(5850),so young jeong(75727,Kyu(5850),,,,,system(0),2022-12-05 00:04:47,2022-12-05 00:43:47,2022-12-05 01:26:27,2022-12-28 07:39:02,,,,,,, cancelled_username
129,129,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
130,130,chloe93(12810),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-01-06 10:23:17,2022-12-05 00:19:25,2022-12-05 00:30:13,2023-01-03 07:41:20,,,,,,, cancelled_username
131,131,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
132,132,Kyu(5850),so young jeong(75727,,chris,,,,chris,2022-12-05 00:04:47,2022-12-05 00:41:04,2022-12-16 02:58:19,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
133,133,Kyu(5850),so young jeong(75727,,chris,,,,chris,2022-12-05 00:04:47,2022-12-05 00:43:40,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
134,134,,,,chris,,,,chris,2022-12-16 02:58:04,2022-12-16 02:58:11,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
135,135,jason_(38952),hanpoom logi(75732),hanpoom logi(75731),chris,,,,chris,2022-12-04 22:33:10,2022-12-04 23:53:59,2023-01-09 21:27:05,2023-01-09 21:27:05,,,,,,2023-01-10 11:31:34, cancelled_username
136,136,chloe93(12810),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-01-06 10:23:17,2022-12-05 01:04:53,2022-12-05 04:49:44,2023-01-03 07:41:20,,,,,,, cancelled_username
137,137,chloe93(12810),hanpoom logi(75732),hanpoom logi(75728),,,,,system(0),2023-01-26 10:11:32,2022-12-05 00:46:57,2022-12-05 04:36:09,2023-01-03 07:41:20,,,,,,, cancelled_username
138,138,Kyu(5850),jason_(38952),Kyu(5850),,,,,system(0),2022-12-05 00:04:47,2022-12-05 00:44:53,2022-12-05 01:13:52,2022-12-28 07:39:02,,,,,,, cancelled_username
139,139,Kyu(5850),so young jeong(75727,jason_(38952),,,,,system(0),2022-12-05 00:04:47,2022-12-05 00:39:57,2022-12-05 01:18:55,2022-12-28 07:39:02,,,,,,, cancelled_username
140,140,chloe93(12810),hanpoom logi(75732),hanpoom logi(75731),,,,,system(0),2023-01-26 10:12:05,2022-12-05 00:04:39,2022-12-05 00:05:33,2023-01-03 07:41:20,,,,,,, cancelled_username
141,141,Kyu(5850),so young jeong(75727,jason_(38952),,,,,system(0),2022-12-05 00:04:47,2022-12-05 00:39:50,2022-12-05 01:18:21,2022-12-28 07:39:02,,,,,,, cancelled_username
